Rank,University_Name,National/Regional Rank,Alumni,Award,Hici,N&S,PUB,PCP,Country
1,harvard university,1/1,100,97.1,100,100,100,85.7,US
2,stanford university,1/2,45.3,88.1,73.1,83.9,73.1,59.6,US
3,massachusetts institute of technology (mit),1/3,71.9,82.8,55.2,70.8,59.1,73.6,US
4,university of cambridge,1/1,78.2,90.8,45.1,59.8,67.2,60.6,GB
5,"university of california, berkeley",1/4,65.3,76.5,46.9,62.8,57.1,55.5,US
6,university of oxford,1/2,49.5,59.7,51.3,57.2,77.1,47.9,GB
7,princeton university,1/5,61.2,100,26,51.3,42.3,75.3,US
8,california institute of technology,6/7,55.7,63.4,29.8,57.9,41,100,US
8,columbia university,6/7,59.4,63.2,42.7,51.9,67,31.6,US
10,university of chicago,1/8,59,84.5,32.5,44.9,53,44.2,US
11,yale university,1/9,50.3,49.6,45.1,54.3,65.2,38.6,US
12,paris-saclay university,1/1,36.9,73.8,33.8,33.9,65.7,47.1,France
12,cornell university,1/10,42.2,44.2,41.7,55.8,63.9,45,US
14,university of pennsylvania,1/11,32,39.6,51.7,44.5,68.5,42.6,US
15,"university of california, los angeles",1/12,29.8,45,44.6,51,67.2,29.1,US
16,university college london,1/3,27,31.5,48.7,41.7,78.5,34.1,GB
17,johns hopkins university,1/13,34,34.6,45.6,38.7,74.6,29.3,US
18,university of washington,14-15,22.6,33.2,43.7,52.3,71.4,25.9,US
18,"university of california, san diego",14-15,18,32.4,54.5,51.7,60.8,32.7,US
20,"university of california, san francisco",1/16,0,41.9,49.6,55.6,60.1,31.1,US
21,eth zurich,1/1,26.5,42.2,30.5,53.3,54.6,48.8,Switzerland
22,tsinghua university,1/1,9,0,57.5,47.1,86.2,34,CN
23,washington university in st. louis,1/17,20.8,27.4,47.8,39.1,53.2,36.7,US
24,peking university,1/2,10.4,0,41.2,44,89.2,32.2,CN
25,imperial college london,1/4,12.7,31.3,37.4,36.2,63.7,39.2,GB
26,university of toronto,1/1,16.4,13,39.1,36.6,82,30.3,CA
27,zhejiang university,1/3,0,0,41.2,37,99.5,27,CN
28,the university of tokyo,1/1,36.3,23.5,21.6,45.3,68.6,24,JP
29,rockefeller university,1/18,15.6,57.6,26.8,41.7,16,74.4,United States
30,university of michigan-ann arbor,1/19,37.1,9.8,33.2,39.1,74,23.3,US
31,new york university,1/20,26.5,35.1,29.8,40.1,56.5,19.9,US
32,university of copenhagen,1/1,18.7,20.6,30.5,36.3,66.4,36.1,DK
33,psl university,1/2,50.3,45.1,9.2,23.7,52.6,50,IN
33,northwestern university,1/21,12.7,25.8,38.5,38.3,57.6,28.9,US
35,university of north carolina at chapel hill,1/22,7.3,21.9,41.7,34.1,59.8,32.2,US
36,university of wisconsin - madison,1/23,28,31.3,27.6,31.7,59.9,24,US
37,the university of melbourne,1/1,14.7,11.3,42.2,24.6,72,32.2,AU
38,shanghai jiao tong university,1/4,0,0,32.5,28.3,95.7,27.4,CN
39,duke university,1/24,19.4,17.8,33.2,37.7,60.1,22.1,US
40,the university of edinburgh,1/5,25.4,22.6,35.7,28.9,55.2,27.3,GB
41,sorbonne university,1/3,38.6,23.4,20.6,29.2,61.4,27.4,AE
42,university of science and technology of china,1/5,0,0,41.2,34.2,76.1,31.3,CN
43,karolinska institute,1/1,22.6,23.8,22.5,25.1,56,53.2,SE
43,university of munich,1/1,24.9,19.2,25.2,32,55.2,42.7,RS
45,the university of texas at austin,1/25,23.2,21.6,32.5,29,55.6,28.6,United States
45,kyoto university,1/2,33.6,38.8,17.2,25.7,55.2,21.7,JP
47,"university of minnesota, twin cities",1/26,26,15,36.2,26.9,60.5,22.7,United States
47,technical university of munich,1/2,34,17.2,22.5,26.9,55.3,47.9,Ghana
47,university of british columbia,1/2,13.7,17.2,31.9,29.6,65.5,24.1,CA
50,heidelberg university,1/3,18,21.1,20.6,32.5,53.6,50.3,PK
50,fudan university,1/6,0,0,36.8,31.1,80.5,27.4,CN
52,the university of manchester,1/6,14.7,29.1,22.5,30.5,57.3,28.6,GB
53,king's college london,1/7,23.2,16.8,41.2,18.5,57.5,29.4,CA
54,the university of texas southwestern medical center at dallas,1/27,17.2,31.4,31.2,34.4,39.9,27.4,US
55,utrecht university,1/1,20.8,17.2,35.1,24.2,57.3,27.6,NL
55,university of illinois at urbana-champaign,1/28,25.4,33,17.2,29.9,51.9,26.1,US
55,swiss federal institute of technology lausanne,1/2,0,29.1,25.2,38.2,39.8,50.7,CH
58,university of geneva,1/3,37.4,37.3,13,25.7,43.2,37.9,CH
58,"university of maryland, college park",1/29,17.2,18.4,29.8,35.6,48.5,31.5,United States
60,université paris cité,1/4,13.9,10.1,34.4,27.9,59.5,25,BE
61,university of bonn,1/4,30.3,33,18.4,20.7,41.8,42.6,NG
62,university of southern california,1/30,0,29.1,31.2,23.6,53.3,25,US
63,the university of queensland,1/2,11.6,0,39.1,24.1,63.6,34.1,AU
64,"university of california, santa barbara",1/31,13.7,36,18.4,35.2,34.5,35.8,US
65,university of colorado at boulder,2/1,11.6,31.4,19.5,32.2,43.8,31.9,US
66,vanderbilt university,2/2,13.7,26.1,26,21,51.3,33.5,US
67,university of zurich,1/4,0,20.6,23.5,30.7,54.5,35.8,CH
68,national university of singapore,1/1,0,0,40.7,24.9,63.1,33.5,SG
69,university of groningen,1/2,12.7,22.6,26,21.3,54.4,28.3,NL
69,the university of hong kong,1/1,0,0,48.7,24.2,56.5,29.9,HK
69,weizmann institute of science,1/1,16.4,15,32.5,39.7,26.3,45.3,IL
72,university of oslo,1/1,24.9,29.1,18.4,15,54.4,29.2,NO
72,sun yat-sen university,1/7,0,0,27.6,17.8,85.9,25,China
74,university of sydney,1/3,12.7,0,34.4,21.4,66.4,29.7,AU
74,mcgill university,1/3,29.4,0,26,30.4,58.7,27.3,CA
76,"university of california, irvine",2/3,14.7,26.9,25.2,25,46.4,24.6,US
77,the university of new south wales,1/4,0,0,38,25.2,63.3,31.3,AU
78,ku leuven,1/1,0,0,32.5,28.2,59.8,32.9,BE
79,huazhong university of science and technology,1/8,0,0,26.8,18.7,79.1,23,CN
80,aarhus university,1/2,10.4,20.3,15.9,24.4,55.7,28.2,DK
81,the hebrew university of jerusalem,1/2,29.8,26.1,13,22.7,43.2,30.7,IL
82,the ohio state university - columbus,2/4,10.4,16.8,20.6,21,62.7,17,US
82,nanjing university,1/9,0,0,26.8,27.6,66.8,26.6,CN
82,monash university,1/5,0,0,26,25.5,67.9,30.8,AU
85,technion-israel institute of technology,1/3,22,34.9,13,20.7,34.9,39.6,IL
86,seoul national university,1/1,15.6,0,19.5,24.4,68.4,26,KR
86,the university of texas m. d. anderson cancer center,2/5,0,13.8,35.1,20.4,36.9,53.7,US
88,uppsala university,1/2,20.1,20.6,14.6,24,49.9,27.1,SE
89,wuhan university,1/10,0,0,29.1,20.5,72.5,20.3,CN
90,king saud university,1/1,0,0,40.1,6.1,73,24.9,SA
90,ghent university,1/2,0,9.2,32.5,17.8,55.5,33.3,US
90,nanyang technological university,1/2,0,0,42.2,20.4,53.9,30.3,SG
90,university of pittsburgh,2/6,16.4,0,31.2,25.2,58,18.1,US
94,central south university,1/11,0,0,27.6,9.3,81.6,24.5,CN
95,xi'an jiaotong university,1/12,0,0,25.2,16.8,77.4,22,CN
95,university of basel,1/5,21.4,14.1,15.9,29.7,40.1,39.2,CH
97,university of bristol,1/8,5.2,13,28.4,26.3,46,27.4,GB
98,sichuan university,1/13,0,0,21.6,15.4,81,22.6,CN
99,university of helsinki,1/1,15.6,16,18.4,21.7,51.8,26.4,FI
100,purdue university - west lafayette,2/7,11.6,20.9,20.6,19.8,49.3,23.2,US
101-150,jilin university,14-22,0,0,23.5,14,65.9,17,CN
101-150,beijing institute of technology,14-22,0,0,36.2,12.7,59.3,22.4,CN
101-150,southern university of science and technology,14-22,0,0,26.8,23.1,49.2,35.9,KR
101-150,mayo clinic college of medicine and science,39-50,0,0,39.6,16,48.5,27.4,United States
101-150,southeast university,14-22,0,0,23.5,9.6,71.6,21.7,BD
101-150,south china university of technology,14-22,0,0,28.4,10.8,61.7,21.9,CN
101-150,shandong university,14-22,0,0,21.6,14.3,74.6,18.8,CN
101-150,tianjin university,14-22,0,0,32.5,11.1,67.4,22,CN
101-150,northwestern polytechnical university,14-22,0,0,34.4,12.1,58.5,21.9,CN
101-150,harbin institute of technology,14-22,0,0,22.5,16.1,74.1,23.9,CN
101-150,the chinese university of hong kong,2/3,0,13,19.5,10.6,56.7,25.3,Hong Kong
101-150,boston university,39-50,17.2,10.6,19.5,21.1,51.4,22,US
101-150,the university of glasgow,9/12,14.7,0,25.2,21.4,45.2,24.6,GB
101-150,city university of hong kong,2/3,0,0,36.2,17.7,50.1,31,HK
101-150,mcmaster university,4/5,18,17.2,27.6,12.4,45.1,30.7,CA
101-150,university of alberta,4/5,10.4,16,18.4,16.8,54.9,26.5,CA
101-150,brown university,39-50,23.8,18.2,11.3,19.8,44.8,33.3,US
101-150,nagoya university,1/3,27,23.5,13,18.1,43.7,19.8,JP
